INFO:root:{'target': 0.9730741540676746, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365292'}
INFO:root:{'target': 0.9784276820616765, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365292'}
INFO:root:{'target': 0.9839836924868958, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9777199074074074, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.1, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9770131559924823, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.01, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9834109429569267, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.01, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9841269841269841, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.01, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9809841776745536, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.01, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9771544245228456, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9836972343522562, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
INFO:root:{'target': 0.9845571095571095, 'params': {'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'nu': 0.01, 'shrinking': True, 'tol': 0.001, 'verbose': False}, 'datetime': '2025-05-16 00:14:1747365293'}
