2025-03-23 23:32:51,139 [INFO] {'target': 0.9770131559924823, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,266 [INFO] {'target': 0.9834109429569267, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,398 [INFO] {'target': 0.9841269841269841, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,470 [INFO] {'target': 0.9809841776745536, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.01}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,543 [INFO] {'target': 0.9771544245228456, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,612 [INFO] {'target': 0.9836972343522562, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,690 [INFO] {'target': 0.9845571095571095, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,759 [INFO] {'target': 0.9812690576448381, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.001}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,815 [INFO] {'target': 0.9770131559924823, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.0001}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,881 [INFO] {'target': 0.9839836924868958, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.0001}, 'datetime': '2025-03-23 23:32:1742783571'}
2025-03-23 23:32:51,937 [INFO] {'target': 0.984270317506554, 'params': {'gamma': 0.001, 'nu': 0.01, 'tol': 0.0001}, 'datetime': '2025-03-23 23:32:1742783571'}
