INFO:root:{'target': 0.9767307414366238, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.979278365454282, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9838404425680594, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9798463099898507, 'params': {'gamma': 0.001, 'nu': 0.01}}
INFO:root:{'target': 0.9756027140176122, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9771544245228456, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9816966879721093, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9778613804080452, 'params': {'gamma': 0.001, 'nu': 0.05}}
INFO:root:{'target': 0.9723741007194244, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9747584018462426, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9788528389339514, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9756027140176122, 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': 0.9673632980246206, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9691667861752474, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9729340627699395, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.969723059262448, 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': 0.9626780626780627, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.964739471805853, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9677788915938709, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9637763833428409, 'params': {'gamma': 0.001, 'nu': 0.3}}
INFO:root:{'target': 0.9530390636017487, 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': 0.9543849738737467, 'params': {'gamma': 0.001, 'nu': 0.5}}
