INFO:root:{'target': np.float64(0.9516969440923814), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9535769719204177), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9572237960339943), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9554644422451577), 'params': {'gamma': 0.01, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.956952704616256), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9587175485884523), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9581738267403942), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9579021970233876), 'params': {'gamma': 1, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9525017618040874), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9553293751767035), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9610352673492605), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9543849738737467), 'params': {'gamma': 1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9535769719204177), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9550593555681176), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9570882311287353), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9568172164802492), 'params': {'gamma': 1, 'nu': 0.05}}
INFO:root:{'target': np.float64(0.9719545519919459), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9743367935409458), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9781444492690693), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9747584018462426), 'params': {'gamma': 0.025, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9523675310033822), 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.954250211804575), 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9577664399092971), 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9566817667044167), 'params': {'gamma': 0.1, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9604889141557703), 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9643264840182648), 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.96875), 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9655665095013574), 'params': {'gamma': 0.1, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9672248461428367), 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9680561524136944), 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9719545519919459), 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9698622273249139), 'params': {'gamma': 0.1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9668097281831187), 'params': {'gamma': 0.25, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9677788915938709), 'params': {'gamma': 0.25, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.974477289113194), 'params': {'gamma': 0.25, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.969723059262448), 'params': {'gamma': 0.25, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9622668375338175), 'params': {'gamma': 0.025, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9654285714285714), 'params': {'gamma': 0.025, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9676403207331042), 'params': {'gamma': 0.025, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9654285714285714), 'params': {'gamma': 0.025, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9617190835349366), 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9644641073212502), 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9684723416451705), 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9654285714285714), 'params': {'gamma': 0.01, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.966256791535602), 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.96875), 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9733544577272073), 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9694448429206713), 'params': {'gamma': 0.001, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.951830985915493), 'params': {'gamma': 0.25, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9534424379232506), 'params': {'gamma': 0.25, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9572237960339943), 'params': {'gamma': 0.25, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9553293751767035), 'params': {'gamma': 0.25, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9748990190421235), 'params': {'gamma': 0.01, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9778613804080452), 'params': {'gamma': 0.01, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9811265969802555), 'params': {'gamma': 0.01, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9791364821790786), 'params': {'gamma': 0.01, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9712561080770337), 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9750396768143125), 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9784276820616765), 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.9751803751803751), 'params': {'gamma': 0.001, 'nu': 0.1}}
INFO:root:{'target': np.float64(0.951830985915493), 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9529046813310773), 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9550593555681176), 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9541154877876606), 'params': {'gamma': 0.001, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9591257451036049), 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9613086770981508), 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9624038735403019), 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9602159704461495), 'params': {'gamma': 0.5, 'nu': 0.3}}
INFO:root:{'target': np.float64(0.9502249718785152), 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9520991828684137), 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9554644422451577), 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9543849738737467), 'params': {'gamma': 0.5, 'nu': 0.5}}
INFO:root:{'target': np.float64(0.9499578296317122), 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9525017618040874), 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.956952704616256), 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9568172164802492), 'params': {'gamma': 1, 'nu': 0.2}}
INFO:root:{'target': np.float64(0.9743367935409458), 'params': {'gamma': 0.025, 'nu': 0.025}}
INFO:root:{'target': np.float64(0.9771544245228456), 'params': {'gamma': 0.025, 'nu': 0.025}}
