2025-03-17 00:44:37,515 [INFO] {'target': 0.9688888888888889, 'params': {'gamma': 0.1, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183077'}
2025-03-17 00:44:37,965 [INFO] {'target': 0.9712561080770337, 'params': {'gamma': 0.1, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183077'}
2025-03-17 00:44:38,387 [INFO] {'target': 0.9760254188330445, 'params': {'gamma': 0.1, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183078'}
2025-03-17 00:44:38,804 [INFO] {'target': 0.9733544577272073, 'params': {'gamma': 0.1, 'nu': 0.1, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183078'}
2025-03-17 00:44:39,185 [INFO] {'target': 0.9663949663949664, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183079'}
2025-03-17 00:44:39,521 [INFO] {'target': 0.96875, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183079'}
2025-03-17 00:44:39,897 [INFO] {'target': 0.9733544577272073, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183079'}
2025-03-17 00:44:40,252 [INFO] {'target': 0.9691667861752474, 'params': {'gamma': 0.001, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183080'}
2025-03-17 00:44:41,368 [INFO] {'target': 0.9522333380301535, 'params': {'gamma': 0.5, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183081'}
2025-03-17 00:44:42,491 [INFO] {'target': 0.9523675310033822, 'params': {'gamma': 0.5, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183082'}
2025-03-17 00:44:43,549 [INFO] {'target': 0.9566817667044167, 'params': {'gamma': 0.5, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183083'}
2025-03-17 00:44:44,775 [INFO] {'target': 0.9541154877876606, 'params': {'gamma': 0.5, 'nu': 0.5, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183084'}
2025-03-17 00:44:45,370 [INFO] {'target': 0.9658425039302558, 'params': {'gamma': 0.1, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183085'}
2025-03-17 00:44:45,920 [INFO] {'target': 0.9683335721450065, 'params': {'gamma': 0.1, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183085'}
2025-03-17 00:44:46,428 [INFO] {'target': 0.9726540011514104, 'params': {'gamma': 0.1, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183086'}
2025-03-17 00:44:46,990 [INFO] {'target': 0.9700014353380221, 'params': {'gamma': 0.1, 'nu': 0.2, 'tol': 0.01}, 'datetime': '2025-03-17 00:44:1742183086'}
